first_name,last_name,y_coord,x_coord,det_mfg,det_model,mic_type,refl_type,mic_ht,mic_ht_units,call_id_1,call_id_2,site_id,det_id,night,anpa,cora,coto,epfu,euma,eupe,idph,labl,labo,laci,lano,lase,laxa,myau,myca,myci,myev,mygr,myle,mylu,myse,myso,myth,myve,myvo,myyu,nyfe,nyhu,nyma,pahe,pesu,tabr,epfulano,eumaeupe,eumaidph,eupeidph,eupenyma,lablpahe,labonyhu,labopesu,lacitabr,lanotabr,myarmyev,mycamyvo,mycamyyu,myevmyth,mylumyvo,nyfetabr,reye,my40,q10k,q15k,q25k,q40k,q50k
Todd,Russel,36.48902,-112.34066,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_BurntCorral_SE,2019-06-24 00:00:00,0,,0,1,0,0,0,0,,1,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,1,,1,,,0,,0,,,,0,0,0,,1,,,,,1,1,0,1,0,1
Todd,Russel,36.48902,-112.34066,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_BurntCorral_SE,2019-06-25 00:00:00,1,,0,1,1,0,0,0,,0,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,0,,1,,,0,,0,,,,1,0,1,,1,,,,,1,1,0,1,0,0
Todd,Russel,36.48902,-112.34066,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_BurntCorral_SE,2019-06-26 00:00:00,0,,0,1,1,1,0,0,,1,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,1,,1,,,0,,0,,,,0,0,1,,1,,,,,1,1,1,0,0,0
Todd,Russel,36.48902,-112.34066,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_BurntCorral_SE,2019-06-27 00:00:00,0,,0,1,0,1,0,0,,1,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,0,,1,,,0,,0,,,,0,0,1,,1,,,,,1,0,1,0,0,0
Todd,Russel,36.46688,-112.43856,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_IndianHollow_SW,2019-06-24 00:00:00,0,,0,0,0,0,0,0,,1,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,0,,1,,,0,,0,,,,1,0,0,,0,,,,,0,1,0,1,0,0
Todd,Russel,36.46688,-112.43856,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_IndianHollow_SW,2019-06-25 00:00:00,1,,0,1,0,0,0,0,,1,1,,0,,1,0,,,,0,,,1,0,0,0,,,1,1,,1,,,0,,0,,,,1,0,0,,0,,,,,0,1,1,1,1,0
Todd,Russel,36.46688,-112.43856,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_IndianHollow_SW,2019-06-26 00:00:00,0,,1,1,0,1,0,0,,0,0,,0,,1,0,,,,0,,,1,0,0,0,,,0,1,,1,,,0,,0,,,,0,1,0,,1,,,,,1,1,0,1,0,0
Todd,Russel,36.46688,-112.43856,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_IndianHollow_SW,2019-06-27 00:00:00,0,,0,0,1,1,0,0,,1,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,1,,1,,,0,,0,,,,0,0,0,,1,,,,,0,1,1,1,0,0
Todd,Russel,36.53205,-112.4145,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_PineFlat_NW,2019-06-24 00:00:00,0,,0,0,0,1,0,0,,0,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,1,,1,,,0,,0,,,,0,0,0,,1,,,,,0,1,0,1,0,0
Todd,Russel,36.53205,-112.4145,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_PineFlat_NW,2019-06-25 00:00:00,0,,1,1,0,0,0,0,,1,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,0,,1,,,0,,0,,,,0,0,0,,1,,,,,0,0,0,0,0,0
Todd,Russel,36.53205,-112.4145,Wildlife Acoustics,SM4BAT-FS,SMM-U2,None,3.7,meters,Sonobat 4,Personal Experience,Kaibab National Forest,10390_PineFlat_NW,2019-06-26 00:00:00,0,,0,1,0,0,0,0,,1,1,,0,,1,0,,,,0,,,1,0,0,0,,,0,0,,1,,,0,,0,,,,0,1,0,,1,,,,,1,1,0,1,0,0
