OID_,Date,Station_Name,Station_Id,Reservoir_Storage_Volume__dam_3__Start_of_Day_Values,Elevation__ft_,Latitude,Longitude
1,7/2/1962 0:00:00,Navajo Reservoir,9109090,5181,6050,36.806420000000003,-107.609369999999998
2,7/3/1962 0:00:00,Navajo Reservoir,9109090,8634,6050,36.806420000000003,-107.609369999999998
3,7/4/1962 0:00:00,Navajo Reservoir,9109090,11829,6050,36.806420000000003,-107.609369999999998
4,7/5/1962 0:00:00,Navajo Reservoir,9109090,14881,6050,36.806420000000003,-107.609369999999998
5,7/6/1962 0:00:00,Navajo Reservoir,9109090,18058,6050,36.806420000000003,-107.609369999999998
6,7/7/1962 0:00:00,Navajo Reservoir,9109090,20214,6050,36.806420000000003,-107.609369999999998
7,7/8/1962 0:00:00,Navajo Reservoir,9109090,22598,6050,36.806420000000003,-107.609369999999998
8,7/9/1962 0:00:00,Navajo Reservoir,9109090,24640,6050,36.806420000000003,-107.609369999999998
9,7/10/1962 0:00:00,Navajo Reservoir,9109090,26002,6050,36.806420000000003,-107.609369999999998
10,7/11/1962 0:00:00,Navajo Reservoir,9109090,27477,6050,36.806420000000003,-107.609369999999998
11,7/12/1962 0:00:00,Navajo Reservoir,9109090,28499,6050,36.806420000000003,-107.609369999999998
12,7/13/1962 0:00:00,Navajo Reservoir,9109090,29179,6050,36.806420000000003,-107.609369999999998
13,7/14/1962 0:00:00,Navajo Reservoir,9109090,29520,6050,36.806420000000003,-107.609369999999998
14,7/15/1962 0:00:00,Navajo Reservoir,9109090,29974,6050,36.806420000000003,-107.609369999999998
15,7/16/1962 0:00:00,Navajo Reservoir,9109090,30698,6050,36.806420000000003,-107.609369999999998
16,7/17/1962 0:00:00,Navajo Reservoir,9109090,30988,6050,36.806420000000003,-107.609369999999998
17,7/18/1962 0:00:00,Navajo Reservoir,9109090,31131,6050,36.806420000000003,-107.609369999999998
18,7/19/1962 0:00:00,Navajo Reservoir,9109090,31131,6050,36.806420000000003,-107.609369999999998
19,7/20/1962 0:00:00,Navajo Reservoir,9109090,31131,6050,36.806420000000003,-107.609369999999998
20,7/21/1962 0:00:00,Navajo Reservoir,9109090,30988,6050,36.806420000000003,-107.609369999999998
21,7/22/1962 0:00:00,Navajo Reservoir,9109090,30842,6050,36.806420000000003,-107.609369999999998
22,7/23/1962 0:00:00,Navajo Reservoir,9109090,30552,6050,36.806420000000003,-107.609369999999998
23,7/24/1962 0:00:00,Navajo Reservoir,9109090,30264,6050,36.806420000000003,-107.609369999999998
24,7/25/1962 0:00:00,Navajo Reservoir,9109090,29974,6050,36.806420000000003,-107.609369999999998
25,7/26/1962 0:00:00,Navajo Reservoir,9109090,29974,6050,36.806420000000003,-107.609369999999998
26,7/27/1962 0:00:00,Navajo Reservoir,9109090,30264,6050,36.806420000000003,-107.609369999999998
27,7/28/1962 0:00:00,Navajo Reservoir,9109090,30264,6050,36.806420000000003,-107.609369999999998
28,7/29/1962 0:00:00,Navajo Reservoir,9109090,30408,6050,36.806420000000003,-107.609369999999998
29,7/30/1962 0:00:00,Navajo Reservoir,9109090,30408,6050,36.806420000000003,-107.609369999999998
30,7/31/1962 0:00:00,Navajo Reservoir,9109090,30408,6050,36.806420000000003,-107.609369999999998
31,8/1/1962 0:00:00,Navajo Reservoir,9109090,30264,6050,36.806420000000003,-107.609369999999998
32,8/2/1962 0:00:00,Navajo Reservoir,9109090,29974,6050,36.806420000000003,-107.609369999999998
33,8/3/1962 0:00:00,Navajo Reservoir,9109090,29860,6050,36.806420000000003,-107.609369999999998
34,8/4/1962 0:00:00,Navajo Reservoir,9109090,29633,6050,36.806420000000003,-107.609369999999998
35,8/5/1962 0:00:00,Navajo Reservoir,9109090,29293,6050,36.806420000000003,-107.609369999999998
36,8/6/1962 0:00:00,Navajo Reservoir,9109090,28952,6050,36.806420000000003,-107.609369999999998
37,8/7/1962 0:00:00,Navajo Reservoir,9109090,28499,6050,36.806420000000003,-107.609369999999998
38,8/8/1962 0:00:00,Navajo Reservoir,9109090,28045,6050,36.806420000000003,-107.609369999999998
39,8/9/1962 0:00:00,Navajo Reservoir,9109090,27591,6050,36.806420000000003,-107.609369999999998
40,8/10/1962 0:00:00,Navajo Reservoir,9109090,27023,6050,36.806420000000003,-107.609369999999998
41,8/11/1962 0:00:00,Navajo Reservoir,9109090,26456,6050,36.806420000000003,-107.609369999999998
42,8/12/1962 0:00:00,Navajo Reservoir,9109090,25888,6050,36.806420000000003,-107.609369999999998
43,8/13/1962 0:00:00,Navajo Reservoir,9109090,25321,6050,36.806420000000003,-107.609369999999998
