OID_,Date,Station_Name,Station_Id,Snow_Water_Equivalent__mm__Start_of_Day_Values,Snow_Depth__cm__Start_of_Day_Values,Elevation__ft_,Latitude,Longitude
1,10/1/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
2,10/2/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
3,10/3/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
4,10/4/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
5,10/5/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
6,10/6/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
7,10/7/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
8,10/8/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
9,10/9/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
10,10/10/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
11,10/11/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
12,10/12/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
13,10/13/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
14,10/14/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
15,10/15/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
16,10/16/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
17,10/17/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
18,10/18/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
19,10/19/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
20,10/20/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
21,10/21/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
22,10/22/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
23,10/23/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
24,10/24/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
25,10/25/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
26,10/26/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
27,10/27/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
28,10/28/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
29,10/29/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
30,10/30/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
31,10/31/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
32,11/1/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
33,11/2/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
34,11/3/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
35,11/4/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
36,11/5/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
37,11/6/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
38,11/7/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
39,11/8/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
40,11/9/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
41,11/10/2008 0:00:00,Bristlecone Trail,1111,13,5,8890,36.315750000000001,-115.695430000000002
42,11/11/2008 0:00:00,Bristlecone Trail,1111,13,5,8890,36.315750000000001,-115.695430000000002
43,11/12/2008 0:00:00,Bristlecone Trail,1111,15,5,8890,36.315750000000001,-115.695430000000002
44,11/13/2008 0:00:00,Bristlecone Trail,1111,13,3,8890,36.315750000000001,-115.695430000000002
45,11/14/2008 0:00:00,Bristlecone Trail,1111,8,0,8890,36.315750000000001,-115.695430000000002
46,11/15/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
47,11/16/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
48,11/17/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
49,11/18/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
50,11/19/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
51,11/20/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
52,11/21/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
53,11/22/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
54,11/23/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
55,11/24/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
56,11/25/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
57,11/26/2008 0:00:00,Bristlecone Trail,1111,0,0,8890,36.315750000000001,-115.695430000000002
58,11/27/2008 0:00:00,Bristlecone Trail,1111,18,5,8890,36.315750000000001,-115.695430000000002
59,11/28/2008 0:00:00,Bristlecone Trail,1111,23,10,8890,36.315750000000001,-115.695430000000002
60,11/29/2008 0:00:00,Bristlecone Trail,1111,23,8,8890,36.315750000000001,-115.695430000000002
61,11/30/2008 0:00:00,Bristlecone Trail,1111,23,10,8890,36.315750000000001,-115.695430000000002
62,12/1/2008 0:00:00,Bristlecone Trail,1111,23,8,8890,36.315750000000001,-115.695430000000002
63,12/2/2008 0:00:00,Bristlecone Trail,1111,23,5,8890,36.315750000000001,-115.695430000000002
64,12/3/2008 0:00:00,Bristlecone Trail,1111,23,8,8890,36.315750000000001,-115.695430000000002
65,12/4/2008 0:00:00,Bristlecone Trail,1111,23,5,8890,36.315750000000001,-115.695430000000002
66,12/5/2008 0:00:00,Bristlecone Trail,1111,23,8,8890,36.315750000000001,-115.695430000000002
67,12/6/2008 0:00:00,Bristlecone Trail,1111,23,8,8890,36.315750000000001,-115.695430000000002
68,12/7/2008 0:00:00,Bristlecone Trail,1111,23,5,8890,36.315750000000001,-115.695430000000002
69,12/8/2008 0:00:00,Bristlecone Trail,1111,30,10,8890,36.315750000000001,-115.695430000000002
70,12/9/2008 0:00:00,Bristlecone Trail,1111,30,13,8890,36.315750000000001,-115.695430000000002
71,12/10/2008 0:00:00,Bristlecone Trail,1111,30,10,8890,36.315750000000001,-115.695430000000002
72,12/11/2008 0:00:00,Bristlecone Trail,1111,30,10,8890,36.315750000000001,-115.695430000000002
73,12/12/2008 0:00:00,Bristlecone Trail,1111,30,5,8890,36.315750000000001,-115.695430000000002
74,12/13/2008 0:00:00,Bristlecone Trail,1111,30,5,8890,36.315750000000001,-115.695430000000002
75,12/14/2008 0:00:00,Bristlecone Trail,1111,25,13,8890,36.315750000000001,-115.695430000000002
76,12/15/2008 0:00:00,Bristlecone Trail,1111,23,5,8890,36.315750000000001,-115.695430000000002
77,12/16/2008 0:00:00,Bristlecone Trail,1111,56,36,8890,36.315750000000001,-115.695430000000002
78,12/17/2008 0:00:00,Bristlecone Trail,1111,51,33,8890,36.315750000000001,-115.695430000000002
79,12/18/2008 0:00:00,Bristlecone Trail,1111,69,41,8890,36.315750000000001,-115.695430000000002
80,12/19/2008 0:00:00,Bristlecone Trail,1111,71,46,8890,36.315750000000001,-115.695430000000002
81,12/20/2008 0:00:00,Bristlecone Trail,1111,71,41,8890,36.315750000000001,-115.695430000000002
82,12/21/2008 0:00:00,Bristlecone Trail,1111,71,36,8890,36.315750000000001,-115.695430000000002
83,12/22/2008 0:00:00,Bristlecone Trail,1111,74,33,8890,36.315750000000001,-115.695430000000002
84,12/23/2008 0:00:00,Bristlecone Trail,1111,74,33,8890,36.315750000000001,-115.695430000000002
85,12/24/2008 0:00:00,Bristlecone Trail,1111,74,30,8890,36.315750000000001,-115.695430000000002
86,12/25/2008 0:00:00,Bristlecone Trail,1111,81,38,8890,36.315750000000001,-115.695430000000002
87,12/26/2008 0:00:00,Bristlecone Trail,1111,135,58,8890,36.315750000000001,-115.695430000000002
88,12/27/2008 0:00:00,Bristlecone Trail,1111,135,53,8890,36.315750000000001,-115.695430000000002
89,12/28/2008 0:00:00,Bristlecone Trail,1111,135,53,8890,36.315750000000001,-115.695430000000002
90,12/29/2008 0:00:00,Bristlecone Trail,1111,137,53,8890,36.315750000000001,-115.695430000000002
91,12/30/2008 0:00:00,Bristlecone Trail,1111,137,51,8890,36.315750000000001,-115.695430000000002
92,12/31/2008 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
93,1/1/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
94,1/2/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
95,1/3/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
96,1/4/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
97,1/5/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
98,1/6/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
99,1/7/2009 0:00:00,Bristlecone Trail,1111,137,51,8890,36.315750000000001,-115.695430000000002
100,1/8/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
101,1/9/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
102,1/10/2009 0:00:00,Bristlecone Trail,1111,137,51,8890,36.315750000000001,-115.695430000000002
103,1/11/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
104,1/12/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
105,1/13/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
106,1/14/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
107,1/15/2009 0:00:00,Bristlecone Trail,1111,137,46,8890,36.315750000000001,-115.695430000000002
108,1/16/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
109,1/17/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
110,1/18/2009 0:00:00,Bristlecone Trail,1111,137,48,8890,36.315750000000001,-115.695430000000002
111,1/19/2009 0:00:00,Bristlecone Trail,1111,137,43,8890,36.315750000000001,-115.695430000000002
112,1/20/2009 0:00:00,Bristlecone Trail,1111,137,46,8890,36.315750000000001,-115.695430000000002
113,1/21/2009 0:00:00,Bristlecone Trail,1111,137,43,8890,36.315750000000001,-115.695430000000002
114,1/22/2009 0:00:00,Bristlecone Trail,1111,142,43,8890,36.315750000000001,-115.695430000000002
