Date,Station Name,Station Id,Reservoir Storage Volume (dam^3) Start of Day Values,Elevation (ft),Latitude,Longitude
1970-05-13,Big Sandy,09213700,20989,6758,42.24911,-109.43007
1970-05-14,Big Sandy,09213700,21045,6758,42.24911,-109.43007
1970-05-15,Big Sandy,09213700,21100,6758,42.24911,-109.43007
1970-05-16,Big Sandy,09213700,21156,6758,42.24911,-109.43007
1970-05-17,Big Sandy,09213700,21211,6758,42.24911,-109.43007
1970-05-18,Big Sandy,09213700,21267,6758,42.24911,-109.43007
1970-05-19,Big Sandy,09213700,21322,6758,42.24911,-109.43007
1970-05-20,Big Sandy,09213700,21421,6758,42.24911,-109.43007
1970-05-21,Big Sandy,09213700,21618,6758,42.24911,-109.43007
1970-05-22,Big Sandy,09213700,21917,6758,42.24911,-109.43007
1970-05-23,Big Sandy,09213700,22420,6758,42.24911,-109.43007
1970-05-24,Big Sandy,09213700,23030,6758,42.24911,-109.43007
1970-05-25,Big Sandy,09213700,23435,6758,42.24911,-109.43007
1970-05-26,Big Sandy,09213700,23840,6758,42.24911,-109.43007
1970-05-27,Big Sandy,09213700,24091,6758,42.24911,-109.43007
1970-05-28,Big Sandy,09213700,24387,6758,42.24911,-109.43007
1970-05-29,Big Sandy,09213700,25310,6758,42.24911,-109.43007
1970-05-30,Big Sandy,09213700,25768,6758,42.24911,-109.43007
1970-05-31,Big Sandy,09213700,25866,6758,42.24911,-109.43007
1970-06-01,Big Sandy,09213700,25965,6758,42.24911,-109.43007
1970-06-02,Big Sandy,09213700,25768,6758,42.24911,-109.43007
1970-06-03,Big Sandy,09213700,25245,6758,42.24911,-109.43007
1970-06-04,Big Sandy,09213700,24707,6758,42.24911,-109.43007
1970-06-05,Big Sandy,09213700,24410,6758,42.24911,-109.43007
1970-06-06,Big Sandy,09213700,24387,6758,42.24911,-109.43007
1970-06-07,Big Sandy,09213700,24472,6758,42.24911,-109.43007
1970-06-08,Big Sandy,09213700,24580,6758,42.24911,-109.43007
1970-06-09,Big Sandy,09213700,24665,6758,42.24911,-109.43007
1970-06-10,Big Sandy,09213700,24707,6758,42.24911,-109.43007
1970-06-11,Big Sandy,09213700,24686,6758,42.24911,-109.43007
1970-06-12,Big Sandy,09213700,25245,6758,42.24911,-109.43007
1970-06-13,Big Sandy,09213700,25745,6758,42.24911,-109.43007
1970-06-14,Big Sandy,09213700,25981,6758,42.24911,-109.43007
1970-06-15,Big Sandy,09213700,26216,6758,42.24911,-109.43007
1970-06-16,Big Sandy,09213700,26451,6758,42.24911,-109.43007
1970-06-17,Big Sandy,09213700,26630,6758,42.24911,-109.43007
1970-06-18,Big Sandy,09213700,26674,6758,42.24911,-109.43007
1970-06-19,Big Sandy,09213700,26696,6758,42.24911,-109.43007
1970-06-20,Big Sandy,09213700,26652,6758,42.24911,-109.43007
1970-06-21,Big Sandy,09213700,26674,6758,42.24911,-109.43007
1970-06-22,Big Sandy,09213700,26875,6758,42.24911,-109.43007
1970-06-23,Big Sandy,09213700,27258,6758,42.24911,-109.43007
1970-06-24,Big Sandy,09213700,27371,6758,42.24911,-109.43007
1970-06-25,Big Sandy,09213700,27598,6758,42.24911,-109.43007
1970-06-26,Big Sandy,09213700,27576,6758,42.24911,-109.43007
1970-06-27,Big Sandy,09213700,27507,6758,42.24911,-109.43007
1970-06-28,Big Sandy,09213700,27325,6758,42.24911,-109.43007
1970-06-29,Big Sandy,09213700,27100,6758,42.24911,-109.43007
1970-06-30,Big Sandy,09213700,26875,6758,42.24911,-109.43007
1970-07-01,Big Sandy,09213700,26630,6758,42.24911,-109.43007
1970-07-02,Big Sandy,09213700,26186,6758,42.24911,-109.43007
1970-07-03,Big Sandy,09213700,25723,6758,42.24911,-109.43007
1970-07-04,Big Sandy,09213700,25441,6758,42.24911,-109.43007
1970-07-05,Big Sandy,09213700,25196,6758,42.24911,-109.43007
1970-07-06,Big Sandy,09213700,24951,6758,42.24911,-109.43007
1970-07-07,Big Sandy,09213700,24707,6758,42.24911,-109.43007
1970-07-08,Big Sandy,09213700,24410,6758,42.24911,-109.43007
1970-07-09,Big Sandy,09213700,24134,6758,42.24911,-109.43007
1970-07-10,Big Sandy,09213700,23924,6758,42.24911,-109.43007
1970-07-11,Big Sandy,09213700,23756,6758,42.24911,-109.43007
1970-07-12,Big Sandy,09213700,23638,6758,42.24911,-109.43007
1970-07-13,Big Sandy,09213700,23520,6758,42.24911,-109.43007
1970-07-14,Big Sandy,09213700,23402,6758,42.24911,-109.43007
1970-07-15,Big Sandy,09213700,23298,6758,42.24911,-109.43007
1970-07-16,Big Sandy,09213700,23154,6758,42.24911,-109.43007
1970-07-17,Big Sandy,09213700,23030,6758,42.24911,-109.43007
1970-07-18,Big Sandy,09213700,22866,6758,42.24911,-109.43007
1970-07-19,Big Sandy,09213700,22664,6758,42.24911,-109.43007
1970-07-20,Big Sandy,09213700,22461,6758,42.24911,-109.43007
1970-07-21,Big Sandy,09213700,22258,6758,42.24911,-109.43007
1970-07-22,Big Sandy,09213700,21917,6758,42.24911,-109.43007
1970-07-23,Big Sandy,09213700,21441,6758,42.24911,-109.43007
1970-07-24,Big Sandy,09213700,21048,6758,42.24911,-109.43007
1970-07-25,Big Sandy,09213700,20698,6758,42.24911,-109.43007
1970-07-26,Big Sandy,09213700,20330,6758,42.24911,-109.43007
1970-07-27,Big Sandy,09213700,19961,6758,42.24911,-109.43007
1970-07-28,Big Sandy,09213700,19593,6758,42.24911,-109.43007
1970-07-29,Big Sandy,09213700,19239,6758,42.24911,-109.43007
1970-07-30,Big Sandy,09213700,18870,6758,42.24911,-109.43007
1970-07-31,Big Sandy,09213700,18634,6758,42.24911,-109.43007
1970-08-01,Big Sandy,09213700,18347,6758,42.24911,-109.43007
1970-08-02,Big Sandy,09213700,18149,6758,42.24911,-109.43007
1970-08-03,Big Sandy,09213700,17951,6758,42.24911,-109.43007
1970-08-04,Big Sandy,09213700,17752,6758,42.24911,-109.43007
1970-08-05,Big Sandy,09213700,17412,6758,42.24911,-109.43007
1970-08-06,Big Sandy,09213700,17095,6758,42.24911,-109.43007
1970-08-07,Big Sandy,09213700,16751,6758,42.24911,-109.43007
1970-08-08,Big Sandy,09213700,16351,6758,42.24911,-109.43007
