STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,AQ-WGWFr,AQ-WSWFr,AQ-WTotl
08,1401,14010001,Colorado Headwaters,2000,0.00,0.00,0.00
08,1401,14010002,Blue,2000,0.00,0.00,0.00
08,1401,14010003,Eagle,2000,0.00,0.00,0.00
08,1401,14010004,Roaring Fork,2000,0.00,0.00,0.00
08,1401,14010005,Colorado Headwaters-Plateau,2000,0.01,1.04,1.05
49,1401,14010005,Colorado Headwaters-Plateau,2000,0.00,0.00,0.00
08,1401,14010006,Parachute-Roan,2000,0.00,0.00,0.00
08,1402,14020001,East-Taylor,2000,0.00,0.00,0.00
08,1402,14020002,Upper Gunnison,2000,0.02,1.94,1.96
08,1402,14020003,Tomichi,2000,0.01,0.65,0.66
08,1402,14020004,North Fork Gunnison,2000,0.00,3.99,3.99
08,1402,14020005,Lower Gunnison,2000,0.00,0.00,0.00
08,1402,14020006,Uncompahgre,2000,0.00,0.36,0.36
08,1403,14030001,Westwater Canyon,2000,0.00,0.00,0.00
49,1403,14030001,Westwater Canyon,2000,0.00,0.00,0.00
08,1403,14030002,Upper Dolores,2000,0.00,0.36,0.36
49,1403,14030002,Upper Dolores,2000,0.00,0.00,0.00
08,1403,14030003,San Miguel,2000,0.00,7.30,7.30
08,1403,14030004,Lower Dolores,2000,0.00,0.00,0.00
49,1403,14030004,Lower Dolores,2000,0.00,0.00,0.00
08,1403,14030005,Upper Colorado-Kane Springs,2000,0.00,0.00,0.00
49,1403,14030005,Upper Colorado-Kane Springs,2000,0.00,0.00,0.00
56,1404,14040101,Upper Green,2000,0.00,0.00,0.00
56,1404,14040102,New Fork,2000,0.13,0.27,0.40
56,1404,14040103,Upper Green-Slate,2000,0.01,0.02,0.03
56,1404,14040104,Big Sandy,2000,0.08,0.17,0.25
56,1404,14040105,Bitter,2000,0.00,0.00,0.00
08,1404,14040106,Upper Green-Flaming Gorge Reservoir,2000,0.00,0.00,0.00
49,1404,14040106,Upper Green-Flaming Gorge Reservoir,2000,0.00,0.00,0.00
56,1404,14040106,Upper Green-Flaming Gorge Reservoir,2000,0.00,0.00,0.00
56,1404,14040107,Blacks Fork,2000,0.01,0.01,0.02
49,1404,14040107,Blacks Fork,2000,0.00,0.00,0.00
56,1404,14040108,Muddy,2000,0.00,0.01,0.01
49,1404,14040108,Muddy,2000,0.00,0.00,0.00
08,1404,14040109,Vermilion,2000,0.00,0.00,0.00
56,1404,14040109,Vermilion,2000,0.00,0.00,0.00
56,1404,14040200,Great Divide Closed Basin,2000,0.00,0.00,0.00
08,1405,14050001,Upper Yampa,2000,0.01,1.27,1.28
08,1405,14050002,Lower Yampa,2000,0.00,0.00,0.00
08,1405,14050003,Little Snake,2000,0.00,0.00,0.00
56,1405,14050003,Little Snake,2000,0.00,0.00,0.00
56,1405,14050004,Muddy,2000,0.00,0.00,0.00
08,1405,14050005,Upper White,2000,0.00,0.00,0.00
08,1405,14050006,Piceance-Yellow,2000,0.00,0.00,0.00
08,1405,14050007,Lower White,2000,0.00,0.00,0.00
49,1405,14050007,Lower White,2000,0.00,0.00,0.00
49,1406,14060001,Lower Green-Diamond,2000,25.04,0.00,25.04
08,1406,14060001,Lower Green-Diamond,2000,0.00,0.00,0.00
49,1406,14060002,Ashley-Brush,2000,0.00,0.00,0.00
49,1406,14060003,Duchesne,2000,5.44,0.00,5.44
49,1406,14060004,Strawberry,2000,0.00,0.00,0.00
49,1406,14060005,Lower Green-Desolation Canyon,2000,0.00,0.00,0.00
49,1406,14060006,Willow,2000,0.00,0.00,0.00
49,1406,14060007,Price,2000,0.00,0.00,0.00
49,1406,14060008,Lower Green,2000,0.00,0.00,0.00
49,1406,14060009,San Rafael,2000,0.00,0.00,0.00
49,1407,14070001,Upper Lake Powell,2000,0.00,0.00,0.00
49,1407,14070002,Muddy,2000,0.00,0.00,0.00
49,1407,14070003,Fremont,2000,36.04,5.26,41.30
49,1407,14070004,Dirty Devil,2000,0.00,0.00,0.00
49,1407,14070005,Escalante,2000,0.00,0.00,0.00
49,1407,14070006,Lower Lake Powell,2000,0.11,0.00,0.11
04,1407,14070006,Lower Lake Powell,2000,0.00,0.00,0.00
04,1407,14070007,Paria,2000,0.00,0.00,0.00
49,1407,14070007,Paria,2000,0.00,0.00,0.00
08,1408,14080101,Upper San Juan,2000,0.00,0.00,0.00
35,1408,14080101,Upper San Juan,2000,0.00,0.00,0.00
08,1408,14080102,Piedra,2000,0.00,0.00,0.00
35,1408,14080103,Blanco Canyon,2000,0.00,0.00,0.00
08,1408,14080104,Animas,2000,0.00,6.31,6.31
35,1408,14080104,Animas,2000,0.00,0.00,0.00
04,1408,14080105,Middle San Juan,2000,0.00,0.00,0.00
08,1408,14080105,Middle San Juan,2000,0.00,0.00,0.00
35,1408,14080105,Middle San Juan,2000,0.00,0.00,0.00
04,1408,14080106,Chaco,2000,0.00,0.00,0.00
35,1408,14080106,Chaco,2000,0.00,0.00,0.00
08,1408,14080107,Mancos,2000,0.00,0.00,0.00
35,1408,14080107,Mancos,2000,0.00,0.00,0.00
04,1408,14080201,Lower San Juan-Four Corners,2000,0.00,0.00,0.00
08,1408,14080201,Lower San Juan-Four Corners,2000,0.00,0.00,0.00
35,1408,14080201,Lower San Juan-Four Corners,2000,0.00,0.00,0.00
49,1408,14080201,Lower San Juan-Four Corners,2000,0.00,0.00,0.00
08,1408,14080202,Mcelmo,2000,0.00,0.00,0.00
49,1408,14080202,Mcelmo,2000,0.00,0.00,0.00
08,1408,14080203,Montezuma,2000,0.00,0.00,0.00
49,1408,14080203,Montezuma,2000,0.00,0.00,0.00
04,1408,14080204,Chinle,2000,0.00,0.00,0.00
35,1408,14080204,Chinle,2000,0.00,0.00,0.00
49,1408,14080204,Chinle,2000,0.00,0.00,0.00
04,1408,14080205,Lower San Juan,2000,0.00,0.00,0.00
49,1408,14080205,Lower San Juan,2000,0.00,0.00,0.00
04,1501,15010001,Lower Colorado-Marble Canyon,2000,0.00,0.00,0.00
04,1501,15010002,Grand Canyon,2000,0.00,0.00,0.00
04,1501,15010003,Kanab,2000,0.00,0.00,0.00
49,1501,15010003,Kanab,2000,0.00,0.00,0.00
04,1501,15010004,Havasu Canyon,2000,0.00,0.00,0.00
32,1501,15010005,Lake Mead,2000,0.00,5.61,5.61
04,1501,15010005,Lake Mead,2000,0.00,0.00,0.00
04,1501,15010006,Grand Wash,2000,0.00,0.00,0.00
32,1501,15010006,Grand Wash,2000,0.00,0.00,0.00
04,1501,15010007,Hualapai Wash,2000,0.00,0.00,0.00
49,1501,15010008,Upper Virgin,2000,0.00,0.00,0.00
04,1501,15010009,Fort Pearce Wash,2000,0.00,0.00,0.00
49,1501,15010009,Fort Pearce Wash,2000,0.00,0.00,0.00
04,1501,15010010,Lower Virgin,2000,0.00,0.00,0.00
32,1501,15010010,Lower Virgin,2000,0.00,0.00,0.00
49,1501,15010010,Lower Virgin,2000,0.00,0.00,0.00
32,1501,15010011,White,2000,0.00,0.00,0.00
32,1501,15010012,Muddy,2000,0.00,0.00,0.00
32,1501,15010013,Meadow Valley Wash,2000,0.00,0.00,0.00
49,1501,15010013,Meadow Valley Wash,2000,0.00,0.00,0.00
04,1501,15010014,Detrital Wash,2000,0.00,0.00,0.00
32,1501,15010015,Las Vegas Wash,2000,0.00,0.00,0.00
04,1502,15020001,Little Colorado Headwaters,2000,0.00,0.00,0.00
35,1502,15020001,Little Colorado Headwaters,2000,0.00,0.00,0.00
04,1502,15020002,Upper Little Colorado,2000,0.00,0.00,0.00
35,1502,15020002,Upper Little Colorado,2000,0.00,0.00,0.00
04,1502,15020003,Carrizo Wash,2000,0.00,0.00,0.00
35,1502,15020003,Carrizo Wash,2000,0.00,0.00,0.00
04,1502,15020004,Zuni,2000,0.00,0.00,0.00
35,1502,15020004,Zuni,2000,0.00,0.00,0.00
04,1502,15020005,Silver,2000,2.85,0.00,2.85
04,1502,15020006,Upper Puerco,2000,0.00,0.00,0.00
35,1502,15020006,Upper Puerco,2000,0.00,0.00,0.00
04,1502,15020007,Lower Puerco,2000,0.00,0.00,0.00
04,1502,15020008,Middle Little Colorado,2000,0.00,0.00,0.00
04,1502,15020009,Leroux Wash,2000,0.00,0.00,0.00
04,1502,15020010,Chevelon Canyon,2000,0.00,0.00,0.00
04,1502,15020011,Cottonwood Wash,2000,0.00,0.00,0.00
04,1502,15020012,Corn-Oraibi,2000,0.00,0.00,0.00
04,1502,15020013,Polacca Wash,2000,0.00,0.00,0.00
04,1502,15020014,Jadito Wash,2000,0.00,0.00,0.00
04,1502,15020015,Canyon Diablo,2000,0.00,0.00,0.00
04,1502,15020016,Lower Little Colorado,2000,0.00,0.00,0.00
04,1502,15020017,Dinnebito Wash,2000,0.00,0.00,0.00
04,1502,15020018,Moenkopi Wash,2000,0.00,0.00,0.00
04,1503,15030101,Havasu-Mohave Lake,2000,0.04,0.76,0.81
06,1503,15030101,Havasu-Mohave Lake,2000,0.00,0.00,0.00
32,1503,15030101,Havasu-Mohave Lake,2000,0.00,0.00,0.00
06,1503,15030102,Piute Wash,2000,0.00,0.00,0.00
32,1503,15030102,Piute Wash,2000,0.00,0.00,0.00
04,1503,15030103,Sacramento Wash,2000,0.00,0.00,0.00
04,1503,15030104,Imperial Reservoir,2000,0.00,0.00,0.00
06,1503,15030104,Imperial Reservoir,2000,0.00,0.00,0.00
04,1503,15030105,Bouse Wash,2000,0.00,0.00,0.00
04,1503,15030106,Tyson Wash,2000,0.00,0.00,0.00
04,1503,15030107,Lower Colorado,2000,0.00,0.00,0.00
06,1503,15030107,Lower Colorado,2000,0.00,0.00,0.00
04,1503,15030108,Yuma Desert,2000,0.00,0.00,0.00
