STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,HY-InUse,HY-OffFr,HY-ToUse,HY-InPow,HY-OfPow,HY-ToPow,HY-InFac,HY-OfFac,HY-ToFac
08,1401,14010001,Colorado Headwaters,1985,841.86,0.00,841.86,114.02,0.00,114.02,2.00,0.00,2.00
08,1401,14010002,Blue,1985,456.99,0.00,456.99,81.18,0.00,81.18,2.00,0.00,2.00
08,1401,14010003,Eagle,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1401,14010004,Roaring Fork,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1401,14010005,Colorado Headwaters-Plateau,1985,690.65,0.00,690.65,86.30,0.00,86.30,4.00,0.00,4.00
49,1401,14010005,Colorado Headwaters-Plateau,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1401,14010006,Parachute-Roan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1402,14020001,East-Taylor,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1402,14020002,Upper Gunnison,1985,1449.42,0.00,1449.42,431.23,0.00,431.23,3.00,0.00,3.00
08,1402,14020003,Tomichi,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1402,14020004,North Fork Gunnison,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1402,14020005,Lower Gunnison,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1402,14020006,Uncompahgre,1985,2895.98,0.00,2895.98,806.08,0.00,806.08,--,0.00,--
08,1403,14030001,Westwater Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1403,14030001,Westwater Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1403,14030002,Upper Dolores,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
