STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-CUsFr,IR-CLoss,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IR-RecWW,SSEBop_CU
08,1401,14010001,Colorado Headwaters,1985,0.13,212.66,212.80,35.41,52.13,0.89,0.00,40.17,41.06,0.00,--
08,1401,14010002,Blue,1985,0.00,45.99,45.99,7.59,11.29,0.05,0.00,9.11,9.16,0.00,--
08,1401,14010003,Eagle,1985,0.46,177.52,177.98,30.91,43.49,1.04,0.00,22.23,23.27,0.00,--
08,1401,14010004,Roaring Fork,1985,0.47,187.35,187.82,33.85,44.94,1.17,0.00,29.90,31.07,0.00,--
08,1401,14010005,Colorado Headwaters-Plateau,1985,5.80,1722.86,1728.66,328.69,399.89,5.32,0.00,137.83,143.15,0.00,--
49,1401,14010005,Colorado Headwaters-Plateau,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
08,1401,14010006,Parachute-Roan,1985,0.64,147.40,148.04,25.97,36.05,0.56,0.00,11.36,11.92,0.00,--
08,1402,14020001,East-Taylor,1985,0.24,32.87,33.10,6.98,2.56,0.04,0.00,9.47,9.51,0.00,--
08,1402,14020002,Upper Gunnison,1985,1.66,309.98,311.64,67.80,22.35,0.39,0.00,44.97,45.36,0.00,--
08,1402,14020003,Tomichi,1985,0.53,155.30,155.83,31.34,12.54,0.05,0.00,25.52,25.57,0.00,--
08,1402,14020004,North Fork Gunnison,1985,0.82,222.63,223.45,45.24,18.04,0.31,0.00,27.04,27.35,0.00,--
08,1402,14020005,Lower Gunnison,1985,2.02,558.81,560.83,116.54,43.55,0.76,0.00,51.32,52.08,0.00,--
08,1402,14020006,Uncompahgre,1985,2.11,651.49,653.60,134.72,51.13,0.96,0.00,71.72,72.68,0.00,--
08,1403,14030001,Westwater Canyon,1985,0.04,8.50,8.54,2.44,0.77,0.06,0.00,1.67,1.73,0.00,--
49,1403,14030001,Westwater Canyon,1985,0.00,3.97,3.97,3.34,0.37,0.10,0.00,0.90,1.00,0.00,--
08,1403,14030002,Upper Dolores,1985,2.15,45.28,47.43,13.56,4.70,0.31,0.00,7.94,8.25,0.00,--
49,1403,14030002,Upper Dolores,1985,0.00,4.01,4.01,3.32,0.37,0.15,0.00,1.35,1.50,0.00,--
08,1403,14030003,San Miguel,1985,0.41,138.40,138.81,38.43,12.60,0.64,0.00,22.65,23.29,0.00,--
