STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-WTotl,,,,,,,,,,,,,,,,,,,,,
08,1401,14010001,Colorado Headwaters,1985,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,
08,1401,14010002,Blue,1985,0.04,0.00,0.04,0.00,0.00,0.00,0.04,0.00,0.04,,,,,,,,,,,,,,,,,,,,,
08,1401,14010003,Eagle,1985,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,
08,1401,14010004,Roaring Fork,1985,1.11,0.00,1.11,0.11,0.00,0.11,1.22,0.00,1.22,,,,,,,,,,,,,,,,,,,,,
49,1401,14010005,Colorado Headwaters-Plateau,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1401,14010005,Colorado Headwaters-Plateau,1985,1.37,0.02,1.39,0.00,0.00,0.00,1.37,0.02,1.39,,,,,,,,,,,,,,,,,,,,,
08,1401,14010006,Parachute-Roan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1402,14020001,East-Taylor,1985,0.34,0.00,0.34,0.00,0.00,0.00,0.34,0.00,0.34,,,,,,,,,,,,,,,,,,,,,
08,1402,14020002,Upper Gunnison,1985,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,,,,,,,,,,,,,,,,,,,,,
08,1402,14020003,Tomichi,1985,0.07,0.00,0.07,0.00,0.00,0.00,0.07,0.00,0.07,,,,,,,,,,,,,,,,,,,,,
08,1402,14020004,North Fork Gunnison,1985,0.15,0.00,0.15,0.02,0.00,0.02,0.17,0.00,0.17,,,,,,,,,,,,,,,,,,,,,
08,1402,14020005,Lower Gunnison,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1402,14020006,Uncompahgre,1985,2.38,0.00,2.38,0.00,0.00,0.00,2.38,0.00,2.38,,,,,,,,,,,,,,,,,,,,,
49,1403,14030001,Westwater Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1403,14030001,Westwater Canyon,1985,0.00,0.00,0.00,1.56,0.00,1.56,1.56,0.00,1.56,,,,,,,,,,,,,,,,,,,,,
49,1403,14030002,Upper Dolores,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1403,14030002,Upper Dolores,1985,0.04,0.01,0.06,0.00,0.00,0.00,0.04,0.01,0.06,,,,,,,,,,,,,,,,,,,,,
08,1403,14030003,San Miguel,1985,0.06,0.00,0.06,0.01,0.00,0.01,0.07,0.00,0.07,,,,,,,,,,,,,,,,,,,,,
08,1403,14030004,Lower Dolores,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1403,14030004,Lower Dolores,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1403,14030005,Upper Colorado-Kane Springs,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1403,14030005,Upper Colorado-Kane Springs,1985,0.27,0.00,0.27,0.00,0.00,0.00,0.27,0.00,0.27,,,,,,,,,,,,,,,,,,,,,
56,1404,14040101,Upper Green,1985,2.57,0.63,3.19,2.31,0.00,2.31,4.88,0.63,5.50,,,,,,,,,,,,,,,,,,,,,
56,1404,14040102,New Fork,1985,1.08,0.26,1.33,0.96,0.00,0.96,2.04,0.26,2.30,,,,,,,,,,,,,,,,,,,,,
56,1404,14040103,Upper Green-Slate,1985,1.37,0.33,1.69,1.22,0.00,1.22,2.59,0.33,2.91,,,,,,,,,,,,,,,,,,,,,
56,1404,14040104,Big Sandy,1985,1.60,0.38,1.98,1.43,0.00,1.43,3.04,0.38,3.42,,,,,,,,,,,,,,,,,,,,,
56,1404,14040105,Bitter,1985,1.85,0.45,2.30,1.66,0.00,1.66,3.51,0.45,3.96,,,,,,,,,,,,,,,,,,,,,
49,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
56,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.90,0.21,1.11,0.81,0.00,0.81,1.70,0.21,1.92,,,,,,,,,,,,,,,,,,,,,
49,1404,14040107,Blacks Fork,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
56,1404,14040107,Blacks Fork,1985,2.23,0.54,2.77,2.00,0.00,2.00,4.23,0.54,4.76,,,,,,,,,,,,,,,,,,,,,
49,1404,14040108,Muddy,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
56,1404,14040108,Muddy,1985,0.78,0.19,0.98,0.71,0.00,0.71,1.49,0.19,1.68,,,,,,,,,,,,,,,,,,,,,
08,1404,14040109,Vermilion,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
56,1404,14040109,Vermilion,1985,0.52,0.12,0.64,0.46,0.00,0.46,0.98,0.12,1.10,,,,,,,,,,,,,,,,,,,,,
56,1404,14040200,Great Divide Closed Basin,1985,3.36,0.82,4.18,3.02,0.00,3.02,6.38,0.82,7.20,,,,,,,,,,,,,,,,,,,,,
08,1405,14050001,Upper Yampa,1985,0.85,0.33,1.18,2.47,0.00,2.47,3.32,0.33,3.64,,,,,,,,,,,,,,,,,,,,,
08,1405,14050002,Lower Yampa,1985,0.11,0.48,0.59,0.02,0.00,0.02,0.13,0.48,0.62,,,,,,,,,,,,,,,,,,,,,
56,1405,14050003,Little Snake,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1405,14050003,Little Snake,1985,0.00,0.48,0.48,0.00,0.00,0.00,0.00,0.48,0.48,,,,,,,,,,,,,,,,,,,,,
56,1405,14050004,Muddy,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1405,14050005,Upper White,1985,0.00,2.61,2.61,0.00,0.00,0.00,0.00,2.61,2.61,,,,,,,,,,,,,,,,,,,,,
08,1405,14050006,Piceance-Yellow,1985,0.00,2.30,2.30,0.00,0.00,0.00,0.00,2.30,2.30,,,,,,,,,,,,,,,,,,,,,
49,1405,14050007,Lower White,1985,0.52,0.00,0.52,0.00,0.00,0.00,0.52,0.00,0.52,,,,,,,,,,,,,,,,,,,,,
08,1405,14050007,Lower White,1985,0.55,18.40,18.94,3.18,0.00,3.18,3.73,18.40,22.13,,,,,,,,,,,,,,,,,,,,,
08,1406,14060001,Lower Green-Diamond,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1406,14060001,Lower Green-Diamond,1985,0.82,0.00,0.82,0.00,0.00,0.00,0.82,0.00,0.82,,,,,,,,,,,,,,,,,,,,,
49,1406,14060002,Ashley-Brush,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1406,14060003,Duchesne,1985,2.67,0.00,2.67,0.00,0.00,0.00,2.67,0.00,2.67,,,,,,,,,,,,,,,,,,,,,
49,1406,14060004,Strawberry,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
