STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,PS-ToPop,PS-WGWTo,PS-WSWTo,PS-WTotl,PS-DelDO,PS-DelCO,PS-DelIN,PS-DelPT,PS-DelTO,,,,,,,,,,
08,1401,14010001,Colorado Headwaters,1985,15.490,0.25,6.77,7.02,4.11,1.17,0.03,0.00,5.31,,,,,,,,,,
08,1401,14010002,Blue,1985,13.430,1.18,3.46,4.64,3.46,0.47,0.00,0.00,3.93,,,,,,,,,,
08,1401,14010003,Eagle,1985,15.430,2.49,3.95,6.43,2.77,1.67,0.00,0.00,4.44,,,,,,,,,,
08,1401,14010004,Roaring Fork,1985,14.920,2.57,4.21,6.78,3.05,1.60,0.02,0.00,4.67,,,,,,,,,,
08,1401,14010005,Colorado Headwaters-Plateau,1985,96.390,0.61,21.65,22.25,16.73,1.35,0.46,0.00,18.53,,,,,,,,,,
49,1401,14010005,Colorado Headwaters-Plateau,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1401,14010006,Parachute-Roan,1985,1.240,0.22,0.12,0.35,0.27,0.03,0.00,0.00,0.30,,,,,,,,,,
08,1402,14020001,East-Taylor,1985,2.250,0.03,0.59,0.63,0.41,0.11,0.00,0.00,0.53,,,,,,,,,,
08,1402,14020002,Upper Gunnison,1985,1.000,0.53,0.00,0.53,0.29,0.07,0.00,0.00,0.36,,,,,,,,,,
08,1402,14020003,Tomichi,1985,6.700,2.37,0.00,2.37,1.92,0.28,0.02,0.00,2.22,,,,,,,,,,
08,1402,14020004,North Fork Gunnison,1985,6.260,1.17,0.80,1.96,1.70,0.09,0.00,0.00,1.79,,,,,,,,,,
08,1402,14020005,Lower Gunnison,1985,8.310,1.54,1.29,2.82,2.40,0.16,0.02,0.00,2.58,,,,,,,,,,
08,1402,14020006,Uncompahgre,1985,28.570,0.10,6.73,6.83,4.83,0.59,0.22,0.00,5.65,,,,,,,,,,
08,1403,14030001,Westwater Canyon,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1403,14030001,Westwater Canyon,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1403,14030002,Upper Dolores,1985,1.570,0.06,0.36,0.41,0.28,0.04,0.01,0.00,0.34,,,,,,,,,,
49,1403,14030002,Upper Dolores,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1403,14030003,San Miguel,1985,5.240,0.17,2.15,2.32,1.73,0.18,0.00,0.00,1.91,,,,,,,,,,
08,1403,14030004,Lower Dolores,1985,0.100,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,,,,,,,,,,
49,1403,14030004,Lower Dolores,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1403,14030005,Upper Colorado-Kane Springs,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1403,14030005,Upper Colorado-Kane Springs,1985,7.090,5.16,0.00,5.16,2.30,0.07,0.00,0.00,2.37,,,,,,,,,,
56,1404,14040101,Upper Green,1985,1.360,0.36,0.56,0.92,0.63,0.16,0.00,0.00,0.78,,,,,,,,,,
56,1404,14040102,New Fork,1985,1.070,0.00,0.30,0.30,0.16,0.02,0.00,0.00,0.18,,,,,,,,,,
56,1404,14040103,Upper Green-Slate,1985,12.810,0.00,3.40,3.40,1.51,0.21,0.00,0.00,1.73,,,,,,,,,,
56,1404,14040104,Big Sandy,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
56,1404,14040105,Bitter,1985,20.050,0.19,5.22,5.41,3.59,0.46,0.07,0.00,4.11,,,,,,,,,,
08,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.730,0.18,0.10,0.28,0.27,0.00,0.00,0.00,0.27,,,,,,,,,,
56,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1404,14040107,Blacks Fork,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
56,1404,14040107,Blacks Fork,1985,7.560,0.06,2.09,2.14,1.56,0.36,0.00,0.00,1.92,,,,,,,,,,
49,1404,14040108,Muddy,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
56,1404,14040108,Muddy,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1404,14040109,Vermilion,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
56,1404,14040109,Vermilion,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
56,1404,14040200,Great Divide Closed Basin,1985,0.680,0.22,0.00,0.22,0.07,0.02,0.00,0.00,0.09,,,,,,,,,,
08,1405,14050001,Upper Yampa,1985,22.360,1.59,3.44,5.03,3.70,0.62,0.07,0.00,4.38,,,,,,,,,,
08,1405,14050002,Lower Yampa,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1405,14050003,Little Snake,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
56,1405,14050003,Little Snake,1985,0.430,0.00,0.20,0.20,0.15,0.02,0.00,0.00,0.17,,,,,,,,,,
56,1405,14050004,Muddy,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1405,14050005,Upper White,1985,2.160,0.73,0.00,0.73,0.63,0.03,0.00,0.00,0.66,,,,,,,,,,
08,1405,14050006,Piceance-Yellow,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1405,14050007,Lower White,1985,3.380,0.08,0.68,0.76,0.48,0.07,0.00,0.00,0.55,,,,,,,,,,
49,1405,14050007,Lower White,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1406,14060001,Lower Green-Diamond,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1406,14060001,Lower Green-Diamond,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1406,14060002,Ashley-Brush,1985,22.800,5.77,0.00,5.77,2.24,0.64,0.00,0.00,2.88,,,,,,,,,,
49,1406,14060003,Duchesne,1985,10.500,3.03,0.63,3.65,3.28,0.15,0.20,0.00,3.63,,,,,,,,,,
49,1406,14060004,Strawberry,1985,2.100,0.01,0.21,0.22,0.19,0.03,0.00,0.00,0.22,,,,,,,,,,
49,1406,14060005,Lower Green-Desolation Canyon,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1406,14060006,Willow,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1406,14060007,Price,1985,21.320,5.06,2.13,7.19,5.61,0.56,0.09,0.00,6.26,,,,,,,,,,
49,1406,14060008,Lower Green,1985,1.100,0.03,0.45,0.48,0.36,0.11,0.00,0.00,0.47,,,,,,,,,,
49,1406,14060009,San Rafael,1985,8.910,1.13,0.43,1.56,1.43,0.12,0.00,0.00,1.56,,,,,,,,,,
49,1407,14070001,Upper Lake Powell,1985,1.470,0.19,0.00,0.19,0.12,0.07,0.00,0.00,0.19,,,,,,,,,,
49,1407,14070002,Muddy,1985,0.480,0.09,0.00,0.09,0.08,0.01,0.00,0.00,0.09,,,,,,,,,,
49,1407,14070003,Fremont,1985,1.810,0.65,0.00,0.65,0.57,0.02,0.00,0.00,0.59,,,,,,,,,,
49,1407,14070004,Dirty Devil,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1407,14070005,Escalante,1985,1.020,0.17,0.00,0.17,0.13,0.02,0.00,0.00,0.16,,,,,,,,,,
04,1407,14070006,Lower Lake Powell,1985,8.790,0.49,2.14,2.63,2.31,0.33,0.00,0.00,2.63,,,,,,,,,,
49,1407,14070006,Lower Lake Powell,1985,0.240,0.06,0.00,0.06,0.06,0.00,0.00,0.00,0.06,,,,,,,,,,
04,1407,14070007,Paria,1985,0.010,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,,,,,,,,,,
49,1407,14070007,Paria,1985,0.660,0.19,0.00,0.19,0.19,0.00,0.00,0.00,0.19,,,,,,,,,,
08,1408,14080101,Upper San Juan,1985,5.670,0.08,1.27,1.35,0.99,0.16,0.00,0.00,1.14,,,,,,,,,,
35,1408,14080101,Upper San Juan,1985,9.030,0.00,0.93,0.93,0.93,0.00,0.00,0.00,0.93,,,,,,,,,,
08,1408,14080102,Piedra,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1408,14080103,Blanco Canyon,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1408,14080104,Animas,1985,19.710,0.39,5.69,6.09,4.20,0.54,0.22,0.00,4.97,,,,,,,,,,
35,1408,14080104,Animas,1985,42.100,0.00,9.81,9.81,7.11,2.33,0.37,0.00,9.81,,,,,,,,,,
04,1408,14080105,Middle San Juan,1985,0.340,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,,,,,,,,,,
08,1408,14080105,Middle San Juan,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1408,14080105,Middle San Juan,1985,6.300,0.00,1.04,1.04,1.04,0.00,0.00,0.00,1.04,,,,,,,,,,
04,1408,14080106,Chaco,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1408,14080106,Chaco,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1408,14080107,Mancos,1985,1.950,0.00,0.40,0.40,0.30,0.03,0.00,0.00,0.34,,,,,,,,,,
35,1408,14080107,Mancos,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1408,14080201,Lower San Juan-Four Corners,1985,2.110,0.07,0.00,0.07,0.07,0.00,0.00,0.00,0.07,,,,,,,,,,
08,1408,14080201,Lower San Juan-Four Corners,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1408,14080201,Lower San Juan-Four Corners,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1408,14080201,Lower San Juan-Four Corners,1985,3.430,0.64,2.09,2.72,2.59,0.13,0.00,0.00,2.72,,,,,,,,,,
08,1408,14080202,Mcelmo,1985,14.910,0.22,3.23,3.45,1.98,0.41,0.06,0.00,2.45,,,,,,,,,,
49,1408,14080202,Mcelmo,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
08,1408,14080203,Montezuma,1985,0.900,0.67,0.00,0.67,0.61,0.01,0.00,0.00,0.62,,,,,,,,,,
49,1408,14080203,Montezuma,1985,1.950,1.05,0.00,1.05,0.95,0.10,0.00,0.00,1.05,,,,,,,,,,
04,1408,14080204,Chinle,1985,25.390,1.84,0.00,1.84,1.77,0.07,0.00,0.00,1.84,,,,,,,,,,
35,1408,14080204,Chinle,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1408,14080204,Chinle,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1408,14080205,Lower San Juan,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1408,14080205,Lower San Juan,1985,0.520,0.03,0.02,0.06,0.04,0.00,0.00,0.00,0.04,,,,,,,,,,
04,1501,15010001,Lower Colorado-Marble Canyon,1985,0.740,0.00,0.68,0.68,0.11,0.57,0.00,0.00,0.68,,,,,,,,,,
