STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,DO-SSPop,DO-WGWTo,DO-WSWTo,DO-WTotl,DO-SSPCp,DO-PSDel,DO-WDelv,DO-ToPCp,,,,,,,,,,,,
08,1401,14010001,Colorado Headwaters,1985,3.010,0.26,0.00,0.26,76.00,4.11,4.37,210.81,,,,,,,,,,,,
08,1401,14010002,Blue,1985,0.440,0.04,0.00,0.04,91.00,3.46,3.51,225.67,,,,,,,,,,,,
08,1401,14010003,Eagle,1985,0.110,0.01,0.00,0.01,91.00,2.77,2.78,159.59,,,,,,,,,,,,
08,1401,14010004,Roaring Fork,1985,5.010,0.41,0.00,0.41,74.00,3.05,3.46,155.04,,,,,,,,,,,,
08,1401,14010005,Colorado Headwaters-Plateau,1985,1.430,0.12,0.00,0.12,77.00,16.73,16.85,153.65,,,,,,,,,,,,
49,1401,14010005,Colorado Headwaters-Plateau,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1401,14010006,Parachute-Roan,1985,0.400,0.03,0.00,0.03,75.00,0.27,0.30,164.63,,,,,,,,,,,,
08,1402,14020001,East-Taylor,1985,0.130,0.01,0.00,0.01,77.00,0.41,0.43,159.99,,,,,,,,,,,,
08,1402,14020002,Upper Gunnison,1985,1.770,0.16,0.00,0.16,79.00,0.29,0.45,144.40,,,,,,,,,,,,
08,1402,14020003,Tomichi,1985,0.740,0.06,0.00,0.06,68.00,1.92,1.97,236.56,,,,,,,,,,,,
08,1402,14020004,North Fork Gunnison,1985,3.460,0.34,0.00,0.34,87.00,1.70,2.04,187.24,,,,,,,,,,,,
08,1402,14020005,Lower Gunnison,1985,0.800,0.08,0.00,0.08,88.00,2.40,2.48,242.59,,,,,,,,,,,,
08,1402,14020006,Uncompahgre,1985,0.760,0.06,0.00,0.06,66.00,4.83,4.89,148.65,,,,,,,,,,,,
08,1403,14030001,Westwater Canyon,1985,0.300,0.02,0.00,0.02,66.67,0.00,0.02,66.67,,,,,,,,,,,,
49,1403,14030001,Westwater Canyon,1985,0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1403,14030002,Upper Dolores,1985,0.410,0.04,0.00,0.04,98.00,0.28,0.33,146.46,,,,,,,,,,,,
49,1403,14030002,Upper Dolores,1985,0.160,0.01,0.00,0.01,62.50,0.00,0.01,62.50,,,,,,,,,,,,
08,1403,14030003,San Miguel,1985,0.230,0.02,0.00,0.02,87.00,1.73,1.75,285.19,,,,,,,,,,,,
08,1403,14030004,Lower Dolores,1985,0.300,0.03,0.00,0.03,100.00,0.01,0.04,100.00,,,,,,,,,,,,
49,1403,14030004,Lower Dolores,1985,0.040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1403,14030005,Upper Colorado-Kane Springs,1985,1.360,0.04,0.00,0.04,29.00,2.30,2.34,247.34,,,,,,,,,,,,
08,1403,14030005,Upper Colorado-Kane Springs,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
56,1404,14040101,Upper Green,1985,2.410,0.18,0.02,0.20,75.00,0.63,0.83,196.29,,,,,,,,,,,,
56,1404,14040102,New Fork,1985,1.300,0.10,0.01,0.11,77.00,0.16,0.27,101.27,,,,,,,,,,,,
56,1404,14040103,Upper Green-Slate,1985,3.520,0.26,0.03,0.29,74.00,1.51,1.80,98.59,,,,,,,,,,,,
56,1404,14040104,Big Sandy,1985,0.670,0.04,0.01,0.06,74.63,0.00,0.06,74.63,,,,,,,,,,,,
56,1404,14040105,Bitter,1985,5.700,0.43,0.04,0.47,74.00,3.59,4.06,140.58,,,,,,,,,,,,
49,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.070,0.01,0.00,0.01,143.00,0.27,0.28,312.50,,,,,,,,,,,,
08,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.100,0.01,0.00,0.01,100.00,0.00,0.01,100.00,,,,,,,,,,,,
56,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.140,0.01,0.00,0.01,71.43,0.00,0.01,71.43,,,,,,,,,,,,
56,1404,14040107,Blacks Fork,1985,8.480,0.65,0.07,0.72,75.00,1.56,2.28,126.56,,,,,,,,,,,,
49,1404,14040107,Blacks Fork,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
56,1404,14040108,Muddy,1985,0.840,0.06,0.01,0.07,71.43,0.00,0.07,71.43,,,,,,,,,,,,
49,1404,14040108,Muddy,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1404,14040109,Vermilion,1985,0.200,0.02,0.00,0.02,100.00,0.00,0.02,100.00,,,,,,,,,,,,
56,1404,14040109,Vermilion,1985,0.020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
56,1404,14040200,Great Divide Closed Basin,1985,0.820,0.07,0.00,0.07,73.00,0.07,0.13,80.00,,,,,,,,,,,,
08,1405,14050001,Upper Yampa,1985,2.110,0.18,0.00,0.18,76.00,3.70,3.88,141.40,,,,,,,,,,,,
08,1405,14050002,Lower Yampa,1985,0.800,0.07,0.00,0.07,75.00,0.00,0.07,75.00,,,,,,,,,,,,
08,1405,14050003,Little Snake,1985,0.600,0.06,0.00,0.06,83.33,0.00,0.06,83.33,,,,,,,,,,,,
56,1405,14050003,Little Snake,1985,0.020,0.00,0.00,0.00,0.00,0.15,0.15,288.89,,,,,,,,,,,,
56,1405,14050004,Muddy,1985,0.390,0.03,0.00,0.03,76.92,0.00,0.03,76.92,,,,,,,,,,,,
08,1405,14050005,Upper White,1985,0.730,0.07,0.00,0.07,82.00,0.63,0.70,214.53,,,,,,,,,,,,
08,1405,14050006,Piceance-Yellow,1985,0.100,0.01,0.00,0.01,100.00,0.00,0.01,100.00,,,,,,,,,,,,
08,1405,14050007,Lower White,1985,0.160,0.02,0.00,0.02,125.00,0.48,0.50,127.12,,,,,,,,,,,,
49,1405,14050007,Lower White,1985,0.190,0.01,0.00,0.01,52.63,0.00,0.01,52.63,,,,,,,,,,,,
08,1406,14060001,Lower Green-Diamond,1985,0.100,0.01,0.00,0.01,100.00,0.00,0.01,100.00,,,,,,,,,,,,
49,1406,14060001,Lower Green-Diamond,1985,0.050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1406,14060002,Ashley-Brush,1985,0.000,0.00,0.00,0.00,0.00,2.24,2.24,87.72,,,,,,,,,,,,
49,1406,14060003,Duchesne,1985,4.800,0.29,0.10,0.39,73.00,3.28,3.68,214.38,,,,,,,,,,,,
49,1406,14060004,Strawberry,1985,0.180,0.01,0.00,0.01,56.00,0.19,0.20,78.95,,,,,,,,,,,,
49,1406,14060005,Lower Green-Desolation Canyon,1985,0.070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1406,14060006,Willow,1985,0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1406,14060007,Price,1985,3.360,0.21,0.08,0.29,77.00,5.61,5.90,213.13,,,,,,,,,,,,
49,1406,14060008,Lower Green,1985,0.230,0.00,0.00,0.00,0.00,0.36,0.36,240.60,,,,,,,,,,,,
49,1406,14060009,San Rafael,1985,0.460,0.02,0.01,0.03,65.00,1.43,1.47,139.81,,,,,,,,,,,,
49,1407,14070001,Upper Lake Powell,1985,0.020,0.00,0.00,0.00,0.00,0.12,0.12,73.83,,,,,,,,,,,,
49,1407,14070002,Muddy,1985,0.050,0.00,0.00,0.00,0.00,0.08,0.08,132.08,,,,,,,,,,,,
49,1407,14070003,Fremont,1985,0.370,0.04,0.00,0.04,108.00,0.57,0.62,252.29,,,,,,,,,,,,
49,1407,14070004,Dirty Devil,1985,0.020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1407,14070005,Escalante,1985,0.030,0.00,0.00,0.00,0.00,0.13,0.13,114.29,,,,,,,,,,,,
04,1407,14070006,Lower Lake Powell,1985,0.000,0.00,0.00,0.00,0.00,2.31,2.31,234.36,,,,,,,,,,,,
49,1407,14070006,Lower Lake Powell,1985,0.010,0.00,0.00,0.00,0.00,0.06,0.06,200.00,,,,,,,,,,,,
49,1407,14070007,Paria,1985,0.070,0.01,0.00,0.01,143.00,0.19,0.20,246.58,,,,,,,,,,,,
04,1407,14070007,Paria,1985,0.000,0.00,0.00,0.00,0.00,0.01,0.01,1000.00,,,,,,,,,,,,
08,1408,14080101,Upper San Juan,1985,4.050,0.35,0.00,0.35,77.00,0.99,1.33,122.43,,,,,,,,,,,,
35,1408,14080101,Upper San Juan,1985,10.560,0.71,0.00,0.71,60.00,0.93,1.64,74.53,,,,,,,,,,,,
08,1408,14080102,Piedra,1985,0.490,0.04,0.00,0.04,81.63,0.00,0.04,81.63,,,,,,,,,,,,
35,1408,14080103,Blanco Canyon,1985,0.460,0.03,0.00,0.03,65.22,0.00,0.03,65.22,,,,,,,,,,,,
08,1408,14080104,Animas,1985,5.340,0.45,0.00,0.45,75.00,4.20,4.65,165.67,,,,,,,,,,,,
35,1408,14080104,Animas,1985,3.740,0.25,0.00,0.25,59.00,7.11,7.35,143.11,,,,,,,,,,,,
08,1408,14080105,Middle San Juan,1985,1.660,0.13,0.00,0.13,72.29,0.00,0.13,72.29,,,,,,,,,,,,
35,1408,14080105,Middle San Juan,1985,7.500,0.50,0.00,0.50,60.00,1.04,1.55,100.00,,,,,,,,,,,,
04,1408,14080105,Middle San Juan,1985,0.740,0.02,0.00,0.02,27.00,0.01,0.03,27.78,,,,,,,,,,,,
35,1408,14080106,Chaco,1985,28.000,2.17,0.00,2.17,69.29,0.00,2.17,69.29,,,,,,,,,,,,
04,1408,14080106,Chaco,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1408,14080107,Mancos,1985,0.000,0.00,0.00,0.00,0.00,0.30,0.30,138.46,,,,,,,,,,,,
35,1408,14080107,Mancos,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1408,14080201,Lower San Juan-Four Corners,1985,0.100,0.01,0.00,0.01,100.00,0.00,0.01,100.00,,,,,,,,,,,,
49,1408,14080201,Lower San Juan-Four Corners,1985,0.860,0.04,0.02,0.07,70.00,2.59,2.66,552.45,,,,,,,,,,,,
04,1408,14080201,Lower San Juan-Four Corners,1985,0.000,0.00,0.00,0.00,0.00,0.07,0.07,28.44,,,,,,,,,,,,
35,1408,14080201,Lower San Juan-Four Corners,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
