STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-WTotl,
08,1401,14010001,Colorado Headwaters,1985,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,
08,1401,14010002,Blue,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1401,14010003,Eagle,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1401,14010004,Roaring Fork,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1401,14010005,Colorado Headwaters-Plateau,1985,0.02,0.00,0.02,0.08,0.00,0.08,0.10,0.00,0.10,
49,1401,14010005,Colorado Headwaters-Plateau,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1401,14010006,Parachute-Roan,1985,0.16,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.16,
08,1402,14020001,East-Taylor,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020002,Upper Gunnison,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020003,Tomichi,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020004,North Fork Gunnison,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020005,Lower Gunnison,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020006,Uncompahgre,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1403,14030001,Westwater Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1403,14030001,Westwater Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1403,14030002,Upper Dolores,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1403,14030002,Upper Dolores,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1403,14030003,San Miguel,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1403,14030004,Lower Dolores,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1403,14030004,Lower Dolores,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1403,14030005,Upper Colorado-Kane Springs,1985,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,
08,1403,14030005,Upper Colorado-Kane Springs,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040101,Upper Green,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040102,New Fork,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040103,Upper Green-Slate,1985,0.11,0.00,0.11,0.02,0.00,0.02,0.13,0.00,0.13,
56,1404,14040104,Big Sandy,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040105,Bitter,1985,0.45,0.00,0.45,0.09,0.00,0.09,0.54,0.00,0.54,
49,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,
08,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1404,14040107,Blacks Fork,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
