STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,TP-TotPop
08,1401,14010001,Colorado Headwaters,1985,18.500
08,1401,14010002,Blue,1985,13.870
08,1401,14010003,Eagle,1985,15.540
08,1401,14010004,Roaring Fork,1985,19.930
08,1401,14010005,Colorado Headwaters-Plateau,1985,97.820
49,1401,14010005,Colorado Headwaters-Plateau,1985,0.000
08,1401,14010006,Parachute-Roan,1985,1.640
08,1402,14020001,East-Taylor,1985,2.380
08,1402,14020002,Upper Gunnison,1985,2.770
08,1402,14020003,Tomichi,1985,7.440
08,1402,14020004,North Fork Gunnison,1985,9.720
08,1402,14020005,Lower Gunnison,1985,9.110
08,1402,14020006,Uncompahgre,1985,29.330
08,1403,14030001,Westwater Canyon,1985,0.300
49,1403,14030001,Westwater Canyon,1985,0.030
08,1403,14030002,Upper Dolores,1985,1.980
49,1403,14030002,Upper Dolores,1985,0.160
08,1403,14030003,San Miguel,1985,5.470
08,1403,14030004,Lower Dolores,1985,0.400
49,1403,14030004,Lower Dolores,1985,0.040
08,1403,14030005,Upper Colorado-Kane Springs,1985,0.000
49,1403,14030005,Upper Colorado-Kane Springs,1985,8.450
56,1404,14040101,Upper Green,1985,3.770
56,1404,14040102,New Fork,1985,2.370
56,1404,14040103,Upper Green-Slate,1985,16.330
56,1404,14040104,Big Sandy,1985,0.670
56,1404,14040105,Bitter,1985,25.750
08,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.100
49,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.800
56,1404,14040106,Upper Green-Flaming Gorge Reservoir,1985,0.140
49,1404,14040107,Blacks Fork,1985,0.000
56,1404,14040107,Blacks Fork,1985,16.040
49,1404,14040108,Muddy,1985,0.000
56,1404,14040108,Muddy,1985,0.840
08,1404,14040109,Vermilion,1985,0.200
56,1404,14040109,Vermilion,1985,0.020
56,1404,14040200,Great Divide Closed Basin,1985,1.500
08,1405,14050001,Upper Yampa,1985,24.470
